type,difficulty,category,question,correct_answer,incorrect_answers
multiple,easy,Vehicles,Jaguar Cars was previously owned by which car manfacturer?,Ford,"[""Chrysler"",""General Motors"",""Fiat""]"
boolean,medium,Entertainment: Video Games,"TF2: The Heavy&#039;s voice actor, Gary Schwartz, voices the Demoman as well ",True,"[""False""]"
multiple,medium,Entertainment: Music,Saul Hudson (Slash) of the band Guns N&#039; Roses is known for playing what type of guitar?,Les Paul Standard,"[""Fender Stratocaster"",""LsL Mongrel"",""Gretsch Falcon""]"
multiple,medium,Science: Computers,What five letter word is the motto of the IBM Computer company?,Think,"[""Click"",""Logic"",""Pixel""]"
multiple,easy,Entertainment: Video Games,Which of the following weapons in &quot;Counter-Strike: Global Offensive&quot; does not have a right-click function?,XM1014,"[""SG553"",""R8 Revolver"",""USP-S""]"
multiple,medium,Vehicles,Which of the following is NOT a Russian car manufacturer?,BYD,"[""Silant"",""Dragon"",""GAZ""]"
boolean,easy,Science: Gadgets,The communication protocol NFC stands for Near-Field Control.,False,"[""True""]"
multiple,easy,General Knowledge,What was the first ever London Underground line to be built?,Metropolitan Line,"[""Circle Line"",""Bakerloo Line"",""Victoria Line""]"
multiple,medium,History,Which of the following countries was the first to send an object into space?,Germany,"[""USA"",""Russia"",""China""]"
multiple,medium,General Knowledge,"Linus Pauling, one of the only winners of multiple Nobel Prizes, earned his Nobel Prizes in Chemistry and what?",Peace,"[""Physics"",""Economics"",""Physiology/Medicine""]"
multiple,hard,General Knowledge,"In the MMO RPG &quot;Realm of the Mad God&quot;, what dungeon is widely considered to be the most difficult?",The Shatter&#039;s,"[""Snake Pit"",""The Tomb of the Acient&#039;s"",""The Puppet Master&#039;s Theater""]"
boolean,medium,Animals,"The Ceratosaurus, a dinosaur known for having a horn on the top of its nose, is also known to be a decendent of the Tyrannosaurus Rex.",False,"[""True""]"
multiple,easy,Science: Mathematics,How many sides does a trapezium have?,4,"[""3"",""5"",""6""]"
multiple,hard,History,Which of these positions did the astronomer and physicist Isaac Newton not hold?,Surveyor to the City of London,"[""Professor of Mathematics"",""Warden of the Royal Mint"",""Member of Parliament""]"
boolean,easy,Science: Computers,Time on Computers is measured via the EPOX System.,False,"[""True""]"
multiple,easy,General Knowledge,Which of the following landmarks is not located in New York City?,Lincoln Memorial,"[""Empire State Building"",""Times Square"",""Central Park""]"
